latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-1.397,120.755,309.8,1.1,1,1/28/2021,220,T,44,6.0NRT,286.5,5.6,D
-2.576,121.383,313.1,1,1,1/28/2021,220,T,71,6.0NRT,285.4,6.5,D
-2.83,122.162,319.3,1,1,1/28/2021,220,T,53,6.0NRT,290.8,9.7,D
-3.866,120.263,315.5,1.1,1,1/28/2021,220,T,68,6.0NRT,286.5,8.1,D
-4.036,120.236,311.3,1.1,1,1/28/2021,220,T,46,6.0NRT,281.4,5,D
9.558,122.923,314,1.1,1,1/28/2021,215,T,68,6.0NRT,291.3,8.1,D
6.857,124.326,309.5,1,1,1/28/2021,215,T,55,6.0NRT,289.7,5.7,D
29.797,106.678,302.5,1.1,1,1/28/2021,350,T,52,6.0NRT,282.4,5.7,D
26.397,114.686,306.2,4.1,1.9,1/28/2021,350,T,0,6.0NRT,279,57.8,D
26.935,111.378,308.5,2.3,1.5,1/28/2021,350,T,67,6.0NRT,285.5,33.9,D
26.931,111.402,307.9,2.4,1.5,1/28/2021,350,T,66,6.0NRT,285.5,32.7,D
27.742,102.206,303.4,1.1,1,1/28/2021,350,T,55,6.0NRT,290.7,4.2,D
27.74,102.216,302.5,1.1,1,1/28/2021,350,T,37,6.0NRT,289.7,3.8,D
26.978,103.771,308.5,1,1,1/28/2021,350,T,47,6.0NRT,284.8,8.7,D
27.16,101.193,306.7,1.2,1.1,1/28/2021,350,T,46,6.0NRT,284,9.5,D
27.15,101.192,316.9,1.2,1.1,1/28/2021,350,T,77,6.0NRT,282.8,19.6,D
26.997,101.732,308.7,1.1,1,1/28/2021,350,T,63,6.0NRT,285.6,10.4,D
26.996,101.742,312.3,1.1,1,1/28/2021,350,T,62,6.0NRT,290.5,13.2,D
27.032,101.248,301,1.2,1.1,1/28/2021,350,T,22,6.0NRT,289.3,5.2,D
27.022,101.245,302.5,1.2,1.1,1/28/2021,350,T,30,6.0NRT,289.9,6,D
26.941,101.574,313,1.1,1.1,1/28/2021,350,T,48,6.0NRT,289.5,12.8,D
26.937,101.568,301,1.1,1.1,1/28/2021,350,T,0,6.0NRT,287.4,6,D
26.917,101.497,300.6,1.1,1.1,1/28/2021,350,T,0,6.0NRT,287.6,4.9,D
26.866,101.881,310.6,1.1,1,1/28/2021,350,T,70,6.0NRT,284.6,12.6,D
26.937,101.273,301.6,1.1,1.1,1/28/2021,350,T,40,6.0NRT,287.7,5.6,D
26.857,101.332,307.4,1.1,1.1,1/28/2021,350,T,65,6.0NRT,292.3,8.8,D
26.722,101.992,324.7,1.1,1,1/28/2021,350,T,83,6.0NRT,288.1,24.3,D
26.72,102.003,314.4,1.1,1,1/28/2021,350,T,75,6.0NRT,288.7,13.1,D
26.649,101.516,312.1,1.1,1.1,1/28/2021,350,T,69,6.0NRT,292.1,11.5,D
26.647,101.527,306.4,1.1,1.1,1/28/2021,350,T,45,6.0NRT,292.5,7,D
26.612,101.72,316,1.1,1,1/28/2021,350,T,76,6.0NRT,296.3,13.6,D
26.678,101.144,365.5,1.2,1.1,1/28/2021,350,T,100,6.0NRT,293.6,125.8,D
26.677,101.155,328.8,1.2,1.1,1/28/2021,350,T,86,6.0NRT,291.8,33.4,D
26.619,101.598,306.2,1.1,1,1/28/2021,350,T,22,6.0NRT,293.6,5.6,D
26.604,101.64,307.4,1.1,1,1/28/2021,350,T,60,6.0NRT,292.8,6.6,D
26.581,101.67,314,1.1,1,1/28/2021,350,T,62,6.0NRT,294.1,9.9,D
26.572,101.668,318,1.1,1,1/28/2021,350,T,78,6.0NRT,295.8,14.1,D
26.576,101.518,306,1.1,1.1,1/28/2021,350,T,48,6.0NRT,295,6.1,D
26.511,101.994,321.3,1.1,1,1/28/2021,350,T,64,6.0NRT,287.8,18.9,D
26.51,102.004,323.6,1.1,1,1/28/2021,350,T,78,6.0NRT,290.6,21.9,D
26.566,101.517,305.5,1.1,1.1,1/28/2021,350,T,51,6.0NRT,294,5.9,D
26.502,101.992,314.9,1.1,1,1/28/2021,350,T,17,6.0NRT,287.7,12.7,D
26.535,101.535,305.7,1.1,1,1/28/2021,350,T,42,6.0NRT,293.8,4.9,D
26.491,101.727,308.1,1.1,1,1/28/2021,350,T,67,6.0NRT,293.2,6.5,D
26.477,101.618,308.2,1.1,1,1/28/2021,350,T,60,6.0NRT,285.1,8.9,D
26.47,101.621,316.8,1.1,1,1/28/2021,350,T,77,6.0NRT,288.2,16.9,D
