latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
24.387,112.534,306,1.5,1.2,1/29/2021,255,T,40,6.0NRT,287.3,12.2,D
24.378,112.518,317.4,1.5,1.2,1/29/2021,255,T,77,6.0NRT,287.5,27,D
23.877,115.661,318.6,1,1,1/29/2021,255,T,78,6.0NRT,296.3,15.9,D
23.869,115.65,325.3,1,1,1/29/2021,255,T,84,6.0NRT,295.1,22.9,D
23.868,115.66,317.6,1,1,1/29/2021,255,T,67,6.0NRT,293,14.8,D
23.707,115.693,302.7,1,1,1/29/2021,255,T,53,6.0NRT,291.5,3.4,D
23.611,115.455,305.4,1,1,1/29/2021,255,T,61,6.0NRT,291.6,6.2,D
23.164,116.467,305.5,1,1,1/29/2021,255,T,54,6.0NRT,293.6,4.1,D
22.545,120.356,313.1,1.3,1.1,1/29/2021,255,T,49,6.0NRT,296.4,9.1,D
23.065,116.514,307.1,1,1,1/29/2021,255,T,65,6.0NRT,293.8,4.9,D
23.453,111.735,304.8,1.6,1.3,1/29/2021,255,T,53,6.0NRT,289.3,12.5,D
22.929,115.4,308.3,1,1,1/29/2021,255,T,21,6.0NRT,296.8,4.1,D
23.111,111.316,302.2,1.7,1.3,1/29/2021,255,T,51,6.0NRT,289.8,9.4,D
23.103,111.308,301.4,1.7,1.3,1/29/2021,255,T,45,6.0NRT,289.7,8.2,D
22.596,110.523,314.5,2,1.4,1/29/2021,255,T,75,6.0NRT,288.2,34.5,D
21.942,110.994,307.7,1.8,1.3,1/29/2021,255,T,65,6.0NRT,291.8,14.7,D
21.94,111.011,307.1,1.8,1.3,1/29/2021,255,T,64,6.0NRT,291.8,14.1,D
21.688,111.601,308.8,1.6,1.2,1/29/2021,255,T,66,6.0NRT,290.6,14.8,D
21.668,109.844,307.1,2.1,1.4,1/29/2021,255,T,61,6.0NRT,291,17.8,D
21.645,110.064,306.1,2,1.4,1/29/2021,255,T,58,6.0NRT,291.4,14.4,D
21.638,109.63,304.9,2.2,1.4,1/29/2021,255,T,33,6.0NRT,291,12.1,D
21.638,109.644,304.2,2.2,1.4,1/29/2021,255,T,36,6.0NRT,291.1,12.2,D
21.476,109.447,319.8,2.3,1.5,1/29/2021,255,T,48,6.0NRT,293,41.2,D
21.478,109.44,318.9,2.3,1.5,1/29/2021,255,T,0,6.0NRT,293.6,42.3,D
14.221,104.863,326.9,4,1.9,1/29/2021,255,T,63,6.0NRT,289.4,140.3,D
14.217,104.9,319.5,4,1.9,1/29/2021,255,T,76,6.0NRT,291.8,81.6,D
13.595,106.451,308.1,3,1.6,1/29/2021,255,T,53,6.0NRT,284.2,23.3,D
13.593,106.198,312.5,3.1,1.7,1/29/2021,255,T,40,6.0NRT,288.2,25.8,D
13.449,107.227,320.6,2.6,1.5,1/29/2021,255,T,77,6.0NRT,289.4,46.7,D
13.594,106.192,314.1,3.1,1.7,1/29/2021,255,T,36,6.0NRT,288,32.3,D
13.443,107.221,313.9,2.6,1.5,1/29/2021,255,T,67,6.0NRT,288.6,27,D
13.44,107.244,316.1,2.5,1.5,1/29/2021,255,T,71,6.0NRT,288.8,35,D
13.43,106.589,311.7,2.9,1.6,1/29/2021,255,T,39,6.0NRT,281.9,25.2,D
13.428,106.582,312.9,2.9,1.6,1/29/2021,255,T,62,6.0NRT,283.7,32.3,D
13.282,107.803,308,2.3,1.5,1/29/2021,255,T,47,6.0NRT,276.8,21,D
13.29,107.026,333,2.6,1.6,1/29/2021,255,T,87,6.0NRT,292.1,110.7,D
13.299,107.021,320,2.6,1.6,1/29/2021,255,T,76,6.0NRT,291.9,49.7,D
13.296,107.045,318.6,2.6,1.6,1/29/2021,255,T,74,6.0NRT,292.1,42.6,D
13.224,107.414,315,2.5,1.5,1/29/2021,255,T,69,6.0NRT,295,28,D
13.172,107.385,315.7,2.5,1.5,1/29/2021,255,T,44,6.0NRT,293.1,25.3,D
13.176,107.402,317.9,2.5,1.5,1/29/2021,255,T,36,6.0NRT,294,29.1,D
13.157,107.445,315.6,2.4,1.5,1/29/2021,255,T,18,6.0NRT,294.3,22.1,D
13.154,107.467,314.4,2.4,1.5,1/29/2021,255,T,59,6.0NRT,293.5,20.7,D
13.092,107.415,313.7,2.4,1.5,1/29/2021,255,T,60,6.0NRT,292.8,23.2,D
13.089,107.323,314.7,2.5,1.5,1/29/2021,255,T,69,6.0NRT,292.2,25.8,D
13.086,107.346,315.4,2.5,1.5,1/29/2021,255,T,70,6.0NRT,293.3,27.4,D
13.098,107.409,315.9,2.4,1.5,1/29/2021,255,T,72,6.0NRT,292.9,28.3,D
13.092,107.34,316.5,2.5,1.5,1/29/2021,255,T,72,6.0NRT,293.3,31.8,D
13.049,107.125,307.9,2.6,1.5,1/29/2021,255,T,44,6.0NRT,285.4,12.6,D
13.054,106.832,307.9,2.7,1.6,1/29/2021,255,T,19,6.0NRT,287.5,17,D
13.064,106.826,309.2,2.7,1.6,1/29/2021,255,T,51,6.0NRT,288,20.7,D
12.999,107.136,309.4,2.6,1.5,1/29/2021,255,T,31,6.0NRT,287.3,16.3,D
12.996,107.159,312.4,2.5,1.5,1/29/2021,255,T,47,6.0NRT,289.5,25.2,D
13.089,106.243,313.9,3,1.7,1/29/2021,255,T,58,6.0NRT,291.3,31.8,D
12.988,107.111,310.5,2.6,1.5,1/29/2021,255,T,29,6.0NRT,287.4,17.3,D
13.011,106.794,308.5,2.7,1.6,1/29/2021,255,T,48,6.0NRT,288.3,18.8,D
12.979,106.94,316.1,2.7,1.6,1/29/2021,255,T,72,6.0NRT,284.1,38.5,D
12.879,106.772,318,2.7,1.6,1/29/2021,255,T,75,6.0NRT,289.2,49.2,D
12.876,106.765,323.8,2.7,1.6,1/29/2021,255,T,81,6.0NRT,290.2,76.4,D
12.416,106.803,313,2.7,1.6,1/29/2021,255,T,71,6.0NRT,287.6,36.7,D
12.21,106.276,313.4,2.9,1.6,1/29/2021,255,T,46,6.0NRT,289.8,32.6,D
12.205,106.295,312.4,2.9,1.6,1/29/2021,255,T,62,6.0NRT,290.6,25.9,D
12.043,107.282,304.7,2.4,1.5,1/29/2021,255,T,47,6.0NRT,278.6,19.3,D
11.788,106.378,329.7,2.8,1.6,1/29/2021,255,T,86,6.0NRT,288.7,108.8,D
11.879,104.012,312.3,4.3,1.9,1/29/2021,255,T,64,6.0NRT,288,60.7,D
-4.033,143.414,343.8,1.4,1.2,1/29/2021,415,A,92,6.0NRT,296.2,67.9,D
-4.008,143.437,331,1.4,1.2,1/29/2021,415,A,72,6.0NRT,290.5,35.5,D
-3.915,142.348,316.4,1.2,1.1,1/29/2021,415,A,60,6.0NRT,296.8,8.3,D
-3.848,141.751,317.4,1.2,1.1,1/29/2021,415,A,56,6.0NRT,298.8,7.6,D
28.672,96.202,304.2,1.2,1.1,1/29/2021,430,T,42,6.0NRT,293,10.7,D
26.963,102.073,301.5,3,1.6,1/29/2021,430,T,47,6.0NRT,290,21.9,D
26.962,102.066,301.4,3,1.6,1/29/2021,430,T,47,6.0NRT,290.4,21.8,D
27.04,101.271,300.3,2.6,1.6,1/29/2021,430,T,33,6.0NRT,285.3,18.5,D
28.507,92.867,301.2,1,1,1/29/2021,430,T,17,6.0NRT,287.2,6.7,D
27.049,101.266,301.6,2.6,1.6,1/29/2021,430,T,46,6.0NRT,284.2,21.1,D
27.043,101.295,306.7,2.6,1.6,1/29/2021,430,T,64,6.0NRT,286.5,35,D
27.467,98.422,315.2,1.6,1.3,1/29/2021,430,T,76,6.0NRT,283.4,34.4,D
26.726,102.016,302.2,3,1.7,1/29/2021,430,T,51,6.0NRT,287.7,25.1,D
27.539,97.388,300.3,1.4,1.2,1/29/2021,430,T,27,6.0NRT,289.9,5.6,D
26.609,101.988,305,3,1.7,1/29/2021,430,T,39,6.0NRT,293,25,D
26.608,101.982,306.8,3,1.7,1/29/2021,430,T,53,6.0NRT,293,29.9,D
26.712,101.41,303.8,2.7,1.6,1/29/2021,430,T,57,6.0NRT,287.7,28.1,D
26.597,101.68,302.5,2.9,1.6,1/29/2021,430,T,42,6.0NRT,291.4,18,D
26.654,101.27,301.8,2.7,1.6,1/29/2021,430,T,49,6.0NRT,290.8,17.3,D
26.649,101.293,304.6,2.7,1.6,1/29/2021,430,T,59,6.0NRT,290.6,22.9,D
26.49,102.036,304.6,3.1,1.7,1/29/2021,430,T,59,6.0NRT,290.4,31,D
26.594,101.674,302.4,2.9,1.6,1/29/2021,430,T,27,6.0NRT,291.9,15.4,D
26.658,101.289,308.2,2.7,1.6,1/29/2021,430,T,67,6.0NRT,290.3,33.8,D
26.49,102.03,303.5,3.1,1.7,1/29/2021,430,T,56,6.0NRT,290.2,28.4,D
26.536,101.597,304.3,2.8,1.6,1/29/2021,430,T,58,6.0NRT,292.1,22.8,D
27.651,90.301,300.8,1.2,1.1,1/29/2021,430,T,28,6.0NRT,286.8,8.9,D
26.776,95.08,388.3,1.1,1,1/29/2021,430,T,100,6.0NRT,300,218.7,D
26.774,95.091,359.4,1.1,1,1/29/2021,430,T,99,6.0NRT,294.4,96.3,D
26.766,95.079,376.3,1.1,1,1/29/2021,430,T,100,6.0NRT,297.4,159.2,D
26.765,95.089,340.7,1.1,1,1/29/2021,430,T,92,6.0NRT,294.3,50.3,D
26.767,95.013,314.8,1.1,1,1/29/2021,430,T,75,6.0NRT,294,14,D
26.72,95.307,312.1,1.1,1.1,1/29/2021,430,T,72,6.0NRT,302,11.7,D
26.287,94.709,301.8,1.1,1,1/29/2021,430,T,40,6.0NRT,290.2,4.6,D
26.426,92.153,308.7,1,1,1/29/2021,430,T,0,6.0NRT,298.1,5.9,D
26.012,94.651,306.2,1.1,1,1/29/2021,430,T,63,6.0NRT,291.8,8.6,D
26.051,94.283,305.2,1.1,1,1/29/2021,430,T,61,6.0NRT,293.1,5.9,D
25.167,96.292,311.3,1.3,1.1,1/29/2021,430,T,50,6.0NRT,295.5,12.3,D
25.517,93.976,302.8,1,1,1/29/2021,430,T,39,6.0NRT,291.8,5.5,D
25.476,92.223,303.7,1,1,1/29/2021,430,T,56,6.0NRT,293.2,3.2,D
24.465,94.082,308.3,1.1,1,1/29/2021,430,T,66,6.0NRT,294.3,7.9,D
22.554,100.723,304.3,3,1.7,1/29/2021,435,T,48,6.0NRT,289,25.4,D
23.061,95.487,315.7,1.3,1.1,1/29/2021,435,T,71,6.0NRT,302.3,7.5,D
23.193,93.658,302.6,1.1,1,1/29/2021,435,T,31,6.0NRT,292,4.3,D
22.752,95.549,318,1.3,1.1,1/29/2021,435,T,73,6.0NRT,303.4,9.6,D
22.691,95.365,316.3,1.3,1.1,1/29/2021,435,T,64,6.0NRT,303.4,7.6,D
22.647,95.626,316.5,1.3,1.1,1/29/2021,435,T,62,6.0NRT,303.3,7.2,D
22.487,95.661,318.1,1.3,1.1,1/29/2021,435,T,68,6.0NRT,304.6,8.9,D
22.124,97.46,317.2,1.8,1.3,1/29/2021,435,T,72,6.0NRT,302.6,14.8,D
22.78,93.516,308.2,1.1,1,1/29/2021,435,T,57,6.0NRT,296.4,8.5,D
22.097,97.43,318.9,1.8,1.3,1/29/2021,435,T,67,6.0NRT,303.3,20.8,D
22.697,93.516,306.5,1.1,1,1/29/2021,435,T,22,6.0NRT,294.6,3.9,D
22.604,94.035,312.8,1.1,1,1/29/2021,435,T,51,6.0NRT,298.3,7.6,D
22.007,97.284,312.4,1.8,1.3,1/29/2021,435,T,59,6.0NRT,299.2,16,D
22.22,94.032,314.9,1.1,1.1,1/29/2021,435,T,70,6.0NRT,300.3,10,D
22.218,94.042,311.3,1.1,1.1,1/29/2021,435,T,63,6.0NRT,299.7,6.5,D
21.495,96.519,314.4,1.6,1.2,1/29/2021,435,T,64,6.0NRT,300.9,14.8,D
21.993,93.351,304.2,1.1,1,1/29/2021,435,T,29,6.0NRT,292,5.9,D
20.901,96.806,313.6,1.7,1.3,1/29/2021,435,T,55,6.0NRT,302,11.8,D
21.362,93.893,306.7,1.1,1.1,1/29/2021,435,T,26,6.0NRT,294.6,6.1,D
21.36,93.905,350.8,1.1,1.1,1/29/2021,435,T,96,6.0NRT,299.1,73.4,D
19.835,99.895,312.3,3,1.7,1/29/2021,435,T,50,6.0NRT,293.7,33.5,D
