latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
28.446,101.729,306,1.7,1.3,1/30/2021,335,T,51,6.0NRT,289.4,17,D
27.171,101.615,303.1,1.7,1.3,1/30/2021,335,T,40,6.0NRT,288.6,10.5,D
27.039,101.677,308.5,1.6,1.3,1/30/2021,335,T,58,6.0NRT,286.2,16.6,D
27.037,101.691,327.1,1.6,1.3,1/30/2021,335,T,85,6.0NRT,290.5,51.4,D
26.974,102.066,307.6,1.5,1.2,1/30/2021,335,T,31,6.0NRT,294.7,10.4,D
26.998,101.735,308.3,1.6,1.3,1/30/2021,335,T,57,6.0NRT,291.6,14.8,D
26.961,102.078,309.3,1.5,1.2,1/30/2021,335,T,42,6.0NRT,296.4,12.3,D
26.88,101.983,308.6,1.6,1.2,1/30/2021,335,T,34,6.0NRT,292.9,12.6,D
26.723,102.153,317,1.5,1.2,1/30/2021,335,T,65,6.0NRT,290.8,24.7,D
26.71,102.169,328.9,1.5,1.2,1/30/2021,335,T,86,6.0NRT,288.9,45.8,D
26.717,102.013,309.6,1.5,1.2,1/30/2021,335,T,69,6.0NRT,291.3,14.3,D
26.715,102.029,312.4,1.5,1.2,1/30/2021,335,T,72,6.0NRT,293.4,18.4,D
26.742,101.678,300.7,1.6,1.3,1/30/2021,335,T,29,6.0NRT,289.6,6.3,D
26.722,101.55,308.8,1.7,1.3,1/30/2021,335,T,58,6.0NRT,295.9,11.2,D
26.647,101.817,321,1.6,1.2,1/30/2021,335,T,76,6.0NRT,298.8,27.4,D
26.625,101.806,316.9,1.6,1.2,1/30/2021,335,T,52,6.0NRT,296.4,18.3,D
26.572,101.67,313.8,1.6,1.3,1/30/2021,335,T,74,6.0NRT,297.1,16.7,D
26.533,101.922,310,1.6,1.2,1/30/2021,335,T,60,6.0NRT,296.9,9.8,D
26.501,102.017,302.9,1.5,1.2,1/30/2021,335,T,37,6.0NRT,292,6.6,D
26.485,101.423,307.7,1.7,1.3,1/30/2021,335,T,39,6.0NRT,296.8,11.4,D
26.452,101.625,306.2,1.6,1.3,1/30/2021,335,T,50,6.0NRT,289.1,11.2,D
26.451,101.633,312.2,1.6,1.3,1/30/2021,335,T,71,6.0NRT,290.6,20.4,D
26.371,101.639,310.2,1.6,1.3,1/30/2021,335,T,55,6.0NRT,289.3,17.6,D
26.371,101.634,315.4,1.6,1.3,1/30/2021,335,T,70,6.0NRT,288.5,25.1,D
26.324,101.645,326.2,1.6,1.2,1/30/2021,335,T,84,6.0NRT,290.3,48.4,D
26.323,101.659,320.8,1.6,1.2,1/30/2021,335,T,80,6.0NRT,291,35.7,D
26.27,101.62,312.7,1.6,1.3,1/30/2021,335,T,73,6.0NRT,289.9,20.5,D
26.271,101.614,309.6,1.6,1.3,1/30/2021,335,T,69,6.0NRT,289.3,17.6,D
25.012,103.037,307.7,1.3,1.1,1/30/2021,335,T,60,6.0NRT,293.8,7.9,D
25.013,103.03,306.3,1.3,1.1,1/30/2021,335,T,54,6.0NRT,293.5,6.3,D
23.4,103.919,305.4,1.1,1,1/30/2021,335,T,42,6.0NRT,288.7,7,D
23.398,103.93,307.3,1.1,1,1/30/2021,335,T,58,6.0NRT,291,8.7,D
22.065,112.112,301.5,2,1.4,1/30/2021,335,T,21,6.0NRT,288.2,7.2,D
22.375,109.81,305,1.4,1.2,1/30/2021,335,T,57,6.0NRT,290.3,8.1,D
22.085,110.283,310.2,1.5,1.2,1/30/2021,335,T,64,6.0NRT,291.3,14.9,D
22.129,110.009,302.5,1.4,1.2,1/30/2021,335,T,41,6.0NRT,290.7,5.8,D
21.903,111.043,302.6,1.7,1.3,1/30/2021,335,T,44,6.0NRT,290.9,7.5,D
21.852,109.97,304.9,1.5,1.2,1/30/2021,335,T,53,6.0NRT,291.6,6.9,D
21.848,109.964,306.9,1.5,1.2,1/30/2021,335,T,59,6.0NRT,291.3,9.5,D
